,n,Labels,comment_text
1520,7.0,0,enligt expressen greps mannen på steningebadets parkering
4445,11.0,0,japp   hittade också det  står att dom betalat ut löner svart
1471,19.0,0,ligger det någon fakta bakom det här  lma kort på gm    moh med ben moh med m hmoud     a
544,7.0,0,gripande och omhändertagande är två olika saker
1038,22.0,0,har de slutat med att gå ut och ta på sig dåd  eller förutsätter de bara nuförtiden att alla ändå tänker is
5789,,1,99 Och stadsplaneringen verkar sega efter rejält när det gäller förebyggande anti terrorist åtgärder några ynka betonglisor hejdar en en tung lastbil det är ni
2131,23.0,0,brist på respekt och för att sådana som du som tar ställning tycker det är okej om det varit någon från din familj
5965,,1,png mercedes benz på chaasinr wdbl meter i tjänstevikt kg ton totalvikt kg kr a obetalda trängselskattspassager fortfarande i hk blir man prickad av ton i km h blir man nog inte »
4160,124.0,0,verkar lite väl otroligt att en förare skulle klara av kraschen i slutet  av bilderna att döma   kan det möjligen vara så att lastbilen fjärrstyrdes     då är frågan varför den misstänkte uzbekiske medborgare tog på sig skulden  kan det verkligen vara så enkelt  utifrån bilderna kan man anta att det är minst två inblandade i gärningen  lustigt att båda är klädda på samma sätt    en möjlig hypotes är att det ligger en professionell organisation bakom det här  kanske mossad agenter    ett akronym för mossad  isis   vilket sammanträffande namn med terrororganisationen som härjar i syrien    en tidigare mossad agent råkar nämna att man stod bakom bombningar i london   syftet är väl antagligen att bilda en ökad opinion mot muslimer  vilket antagligen ligger i israeliska intressen
4943,,1,du kan citera mig i framtiden eftersom det kommer i framtiden vara ett terrordåd i norge danmark usa och även i ryssland alla länder brukar ju terrorism någon verkan om sig det är musslor eller ej
3536,19.0,0,ok då  nycklar eller motsvarande anordningar som krävs för att säkerställa att ingen obehörig kan ta kontroll över fordonet
742,7.0,0,vittnena lär ju springa när bilen kommer
4605,25.0,0,intressant är att polisen  säpo och militären hade avslutat en terroristövning så sent som i torsdags  de var väl ganska så triggade kan man säga
4256,131.0,0,ser nu att calle bildt idag har samma analys som jag här om dådet     så småningom kommer vi att få veta mera om bakgrunden till det som hände    mönstret från andra liknande dåd är att det oftast handlar om på ett eller annat sätt sjuka individer som kommit på sned i samhället    om de sedan fångats in i det ena eller andra nätverket  eller fångats av någon idé eller föreställning  hör det alldeles självklart också till bilden    ingenting jag sett hitintills tyder på att det vi drabbades av i går var resultatet av planering av något terroristisk nätverk    då brukar det handla om betydligt mer omfattande och sofistikerade attacker  det såg vi i paris och bryssel   men det vi sett i nice  berlin och london är i allt väsentligt någonting annat
1170,28.0,0,det är alltså på så vis att människan som kört lastbilen lyckats ta sig ur lastbilen och flytt från platsen utan att någon lyckats följa efter övermanna personen
4453,93.0,0,nej finns ju ingen vinning i det och om man nu ska kunna dölja det ska det väl då handla om  papperslösa som nu ingen direkt saknar direkt utan man kan sedan säga om anhörig från hemlandet frågor så småningom att den personen dog i en trafikolycka  i terrorhänseende gör väl då ett offer den enda verkliga skillnaden  om nu taimour abdulwahab hade lyckats få ordning på sina bomber och sprängt inte bara sig själv till döds utan säg bara en till hade nu detta dåd varit mer känt inte minst då utomlands
2842,59.0,0,rör mig i city varje dag men hade turen att hinna med pendeln till märsta precis innan dådet  är det någon som vet vart i märsta gripandet skedde    ot  det här är en av orsakerna till att jag aldrig stänger ute omvärlden med musik när jag rör mig runt city  jag tror öppna öron räddade många liv i igår
4696,44.0,0,håller med om att det wahhabitiska inflytande varit destruktivt i uzbekistan  precis som i flera andra forna sovjetrepubliker och även i vissa ryska delrepubliker som tjetjenien  min poäng var att det handlat om en ond cirkel där båda sidor eskalerat våldet under lång tid
2728,10.0,0,har det kommit ut namn på något av dom  offren
5491,,1,fjäder i hatten för Sverige det här ska de inte glömma sverige är under attack och svt gör sitt bästa för at sprida desinformation
4449,22.0,0,se inlägget under ditt    tror jag  en film som utspelar sig vid tidpunkten av den bild som jag länkar i mitt inlägg
1047,14.0,0,ok  på nyheterna sa dem att han knuffats  finns nog massa rykten om detta
3017,18.0,0,sörjer   man sörjer inte     man vaknar upp och tänker  vad fan hände       sedan blir det som vanligt igen
2991,2.0,0,flera inblandade
132,62.0,1,hur kan man tro att det varit en olyckshändelse eller att föraren skulle ha fått en hjärtattack   wtf  fattar ni inte att detta har aldrig hänt i sveriges historia  terror eller olyckshändelse  att en lastbil kör in i folkmassa och tar livet av dussintal människor       år med lastbilskörande och inte en enda sådan olycka     inget snack om saken att det är terrorattack
3238,58.0,0,om jag ska tippa lite så tror jag nog att föraren iaf ville fram några meter till i åhlenshuset  gissar på att han åtminstone ville köra ner bilen för rulltrapporna ner till t centralen och där detonera den eventuella bomb han hade    betong lejonen försvårade nog styrningen samt att han kanske desorienterade sig lite när åhlens närmade sig
3592,1.0,0,länk
1192,37.0,0,kan vi få en kort sammanfattning av någon vänlig själ    vilket håll kom lastbilen ifrån  och hur fan kunde den hinna svänga in på drottningsgatan och köra på folk  märkte inte folk att det var nåt skumt
3382,102.0,0,det kanske inte är så sjukt om det visar sig att den så snabbt  kraftfulla och oväntade skarpa kritiken från ryssland stämmer och hör ihop med terrordådet igår    kanske en internationell skandal om hur sveriges regering inte kan samarneta mot terrorism och istället låter vi en efterlyst potentiellt livsfarlig terrorist får bo och verka i skydd  vilket möjliggjorde dådet igår    normalt kommer alla händer utsträckta från alla nationer men inte efter detta terrordåd      lägg märke till att ryssland lägger samvetet på sveriges riksdag det ligger på riksdagsledarnas och partiernas samveten  eftersom de konstant avvisat alla förslag om kontakt  säger kosatjov till interfax
4994,,1,ja man vet kvinnan med båda benen avslitna kanske repar sig dock så skulle jag nog gissa varför antalet döda inte blir så högt hade det funnits många skadade så borde man sett fler övertäckta kroppar på drottninggatan och svarta bilder på offer ha spridits det vore iofs et smärre mirakel om vi bara har tre döda och åtta skadade kanske var rädda så kanske det inte gick jättefort för att folk hann kasta sig undan
2579,12.0,0,var hittar du den informationen  har du namn på mgm och frugan
233,61.0,1,vad hände med alla  man skiter inte där man äter  personer    när ska ni inse att det spelar för fan ingen roll hur snälla och gulliga vi är med terrorister      dags att ändra synsätt nu kanske innan mer händer    självklart är det här terrorism  tragiskt att oskyldiga måste dö för att folk är så jävla naiva    är det bekräftat skottlossning efteråt
2099,25.0,0,usch   det vore ju förskräckligt  då hade han ju stoppats direkt eller i vart fall fotats och lagts ut på instagram av någon modig svensk
3704,45.0,0,bilderna på kvinnan verkar hon ha brunt hår  inte säker med bilderna har hemsk kvalité  ser ut att vara fotograferad på en skärm  och bilden på flickan har mer rött hår  tack för rättningen  inte lätt att hitta bilderna då de blir raderade riktigt snabbt
5078,,1,betongsuggorna lejonen skulle kunna modifieras tiU ett kraftigt stålrör l botten så att det stoppar en idiot i en lastbil
393,8.0,0,nej  det var han som anmälde bilen stulen
4172,69.0,0,var uppe vid wallingatan där lastbilen stals    blev lite konfunderad över spåren på marken  någon som vet om den stals på wallingatan och backades ut på drottninggatan eller körde han runt ett kvarter för att komma ut på drottninggatan högre upp  den påkörda bilen på wallingatan står kvar och på den ser det ut som om lastbilen kommer kom från drottninggatan för att sen köra runt kvarteret innan attacken
535,27.0,0,av egen erfarenhet vet jag att många chaufförer låter nycklarna sitta kvar i bilen medans dom lastar av  hoppas för chaufförerns skull att han inte gjort detta
4440,4.0,0,här har vi det
5435,,1,det går väl an deras kulturmarxistiska liv
1129,23.0,0,två personer är hämtade till förhör bekräftar stockholmspolisen men de vill inte lämna några uppgifter om var eller när de hämtades till förhör
1103,16.0,0,troligtvis inte  dock väntar man med att offentliggöra dödsantal till offer är identifierade och anhöriga underrättade
2348,6.0,0,aftonbladet verkar säkra på sin sak
3825,19.0,0,nu såg jag bara bilden på hunden som var tagen på avstånd  men skulle kunna vara en sån här
3689,37.0,0,stjärnadvokaten ar det för att han vill vara i media  han får inte speciellt bättre betalt för jobbet  han har säkert skrikit efter det  men säger att alla ska ha en försvarare och han bara upprätthåller demokratin
4787,,1,har de skjutit någon levande eller bara kört ihjäl några
4043,8.0,0,kan också ha berott på krutladdningarna från sprinklersystemet
5218,,1,Mångå talldwarf skulle tro inälvor och eller personliga djur om en människa blir biten av en lastbil kläms det ut genom kroppsöppningarna
2263,12.0,0,jo instämmer  de fick även ut bilder på misstänkt gm rätt snabbt
604,13.0,0,live på svt    vet inte om man kanske kan se via svt play
3290,37.0,0,har någon kvar skärmdump på twitterefterlysningen från igår  den som blev troll anklagad och togs bort    nu visar det sig att den var äkta  släktingen har nu gått till expressen med sin efterlysning av den  åriga flickan
1835,1.0,0,isis
4728,,1,just nu arbetar med dragna vapen enligt klar direktrapportering skall dom likvidera en islamist
2968,29.0,0,såg en bild på när lastbilen bärgades  hela hytten var ju ihopknycklad  förardörren var fucked  hur fan överlevde han utan svåra skador att köra in i åhlens sådär snabbt
80,12.0,1,svt s reporter håller sig  så långt bort från området som möjligt
4127,10.0,0,tack fixat som första plats  interaktiv flashbackkarta ver    länk    provokatör
4871,,1,ja det är fan jag inte hittat den tillämpliga paragrafen också så ja chauffören sitter den skiten här det kommer garanterat att förekomma hantering av nycklar på många transport och speditionsföretag i sverige på personalmöten nästa 😉
5018,,1,haha medicinska koll du har ser även ut att mycket väl kunna vara i denna åldern fast snarare ut som en åring om du frågar mig
5796,,1,han kunde inte vara kvar här punkt
672,15.0,0,ingen är gripen för brottet sägs det  man kan ha gripit folk av annan anledning
3661,17.0,0,precis  tänk när detta blir   personer som sen går samman och går till attack som en gerilla
3098,27.0,0,så du menar att de är skyldiga till hans handling  om du har en familjemedlem som mördar någon  då ska du åka i fängelse  var är logiken
1545,8.0,0,är du säker  kiosken klarade sig  men han
2288,27.0,0,om han råkade ta fel tåg hem borde han väl ha märkt det tidigare och hoppat av i karlberg eller liknande för att ta ett tåg tillbaka
2809,16.0,0,jag vet inte hur  aktivt  och snabbt lastbilen kraschade in i ahléns  kanske hoppade ur innan
1550,82.0,0,enligt min uppfattning är chauffören till lastbilen delvis skyldig till händelsen  han måste ha lämnat nycklarna i bilen  då han lastade ur sina varor  kanske t o m motorn var igång  i dagens samhälle kan man aldrig lämna nycklarna i bilen då man lämnar den  innan man går in och betalar på bensinstationen låser man sin bil  så ingen kan stjäla något  att lämna nycklarna i bilen är snudd på ett kriminellt beteende  en bil i felaktiga händer är ett livsfarligt vapen
2646,5.0,0,fyrabarnsfar som jobbar inom byggbranchen
1002,30.0,0,terror in sweden  at least five people dead after hijacked truck rams pedestrians in stockholm shopping centre and  three gunmen  open fire before police bundle a suspect to the ground
351,85.0,0,allt pekar självklart på terrorattentat men är det inte märkligt att man väljer att utföra attentatet på en fredag runt kl  när de flesta fortfarande är på jobb skola  varför inte en lördag när det säkert skulle vara x mer människor i området     titta på attentatet i nice  det var planerat då det skedde under firandet av bastille dagen  man ville ha maximal mängd människor    detta faktum får mig att tro att detta inte var särskilt planerat eller kanske en korkad terrorist som agerade ensam
812,2.0,0,typiskt svenskt
3439,12.0,0,lilly ahmedov       hon måste ju veta mer
296,15.0,0,helt lugnt vid själva fridhemsplan kan jag intyga eftersom jag sitter med fönster ut dit
6002,,1,Många terrorattacker utförda av militanta islamister i väst var för ovanligt om det ens varit någon innan you do the world
3773,20.0,0,har du källa på det    i a bladet står det att ett vittne följde efter honom när han lämnade bensinmacken
1934,8.0,0,allt du läser på internet är inte sant
1916,24.0,0,fast nu är det många som är allvarligt skadade också  finns risk att siffran stiger     skadade   som var allvarligt   barn som är skadade också
4714,,1,inte särskilt otippat på var bara är tidsfråga nu är nya tiden här
5754,,1,ja vem minns kvinnan med båda benen avslitna kanske repar sig dock så skulle jag nog gissa att antalet döda inte stod lika högt hade inte varit många döda som borde man sett fler övertäckta bussar på drottninggatan och fler bilder med offer ha spridits det vore iofs ett smärre mirakel om vi bara har tre döda och åtta skadade kanske gjorde det så att det inte gick jättefort och fast folk hann kasta sig undan
4162,68.0,0,inget av offren är säkert identifierade  prover på de avlidna har körts ner nu på kvällen av polisen till rättsmedicinalverket i linköping för säker identifiering  svar kommer i morgon    man nöjer sig inte med funna id på de döda  eller identifiering av kroppar gjorda av anhöriga  då det är för osäkert av många skäl  så att namnge den elvaåriga flickan som ett av offren är fel i nuläget
2554,5.0,0,hizb ut tahrir   tror jag
3309,66.0,0,en person av kirgisiskt ursprung var förövaren av terrorattacken i sankt petersburgs tunnelbana den  april och fredagens terrordåd i stockholm utfördes av en man från uzbekistan    kirgizistan och uzbekistan är två självständiga stater som gränsar mot varandra och som tidigare var delrepubliker i det forna sovjetunionen    kan det finnas något etniskt samband med det som hände i sankt petersburgs tunnelbana och händelsen på drottninggatan i stockholm
5893,,1,du kan citera alla i framtiden Att det bör i framtiden vara ett terrordåd i norge danmark usa och även i ryssland alla länder blir ju terrorism någon gång vare sig det är musslor eller ej
5328,,1,känns tryggt an det inte ens kan hålla uppe sin service krånglar som bara den att vore väl en prioritet det att nu ha servar som håller lika bra som kvällsblaskorna
3132,30.0,0,hycklarnas marknad råder miljömupparnas ledare fridolin och co lägger blommor vid brottsplatsen  det är mp politik som har skapat det här terrorist samhället  där vi släpper in allt och alla
6123,,1,det låter väl skit bara när vi inte ens vet vilka som finns i vårt land
2144,51.0,0,det tycker jag nog inte  svårt att tyda ålder på de bilder som finns men tycker det inte ser ut som personen är helt vuxen  dessutom låter det ju troligt att det skulle kunna vara den där tjejen om när hon har samma färg på kläderna som den som är saknad
1992,43.0,0,trump anföll den sekulära regeringens flygfält  dvs de som på riktigt krigar mot sunni islamisterna  så det är helt ologiskt  trumps bombningar har hjälpt sunnisidan i syrien  och de här terroristerna i europa med muslimsk bakgrund är till   sunnimuslimer  aldrig shiamuslimer eller sekulära
